measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
5,Prevalence,66,Brunei Darussalam,3,Both,22,All Ages,558,Mental disorders,3,Rate,2019,10089.908790245756,11139.547762171735,9211.726918379785
5,Prevalence,99,Uruguay,3,Both,22,All Ages,558,Mental disorders,3,Rate,2019,13542.001420551467,14898.752868976708,12389.250409369184
5,Prevalence,77,Cyprus,3,Both,22,All Ages,558,Mental disorders,3,Rate,2019,15285.580840680796,16873.729631187474,13875.453697731511
5,Prevalence,88,Malta,3,Both,22,All Ages,558,Mental disorders,3,Rate,2019,15065.427017848451,16562.361000922956,13696.292062992252
5,Prevalence,110,Dominica,3,Both,22,All Ages,558,Mental disorders,3,Rate,2019,14193.438097250582,15615.585934552375,12951.771097893408
5,Prevalence,132,Panama,3,Both,22,All Ages,558,Mental disorders,3,Rate,2019,11575.221423187586,12727.039073273336,10594.785894051727
5,Prevalence,45,Bulgaria,3,Both,22,All Ages,558,Mental disorders,3,Rate,2019,11630.515715341495,12679.481708490935,10621.331700879591
5,Prevalence,165,Pakistan,3,Both,22,All Ages,558,Mental disorders,3,Rate,2019,11479.815329493975,12486.28022467167,10370.322108621072
5,Prevalence,154,Tunisia,3,Both,22,All Ages,558,Mental disorders,3,Rate,2019,15802.598457389813,17235.048005568362,14497.385935789183
5,Prevalence,67,Japan,3,Both,22,All Ages,558,Mental disorders,3,Rate,2019,9915.331661195718,10595.354832942146,9276.911718557983
5,Prevalence,12,Lao People's Democratic Republic,3,Both,22,All Ages,558,Mental disorders,3,Rate,2019,11339.421665431637,12479.949171121405,10282.11642544903
5,Prevalence,121,Bolivia (Plurinational State of),3,Both,22,All Ages,558,Mental disorders,3,Rate,2019,13947.23630519333,15503.001918572629,12661.327247250229
5,Prevalence,143,Iraq,3,Both,22,All Ages,558,Mental disorders,3,Rate,2019,14164.791778226954,15651.711910905316,12842.090888342675
5,Prevalence,367,Monaco,3,Both,22,All Ages,558,Mental disorders,3,Rate,2019,15380.884628517195,16848.51119103255,14090.945227655924
5,Prevalence,34,Azerbaijan,3,Both,22,All Ages,558,Mental disorders,3,Rate,2019,10177.922933164873,11138.205919117523,9320.366271315872
5,Prevalence,23,Kiribati,3,Both,22,All Ages,558,Mental disorders,3,Rate,2019,11452.649590149193,12730.923016310016,10311.937520054373
5,Prevalence,57,Belarus,3,Both,22,All Ages,558,Mental disorders,3,Rate,2019,12770.360925601903,13866.511024369254,11783.932564726383
5,Prevalence,13,Malaysia,3,Both,22,All Ages,558,Mental disorders,3,Rate,2019,11869.662584835336,13090.178368325345,10774.367090175103
5,Prevalence,101,Canada,3,Both,22,All Ages,558,Mental disorders,3,Rate,2019,13799.02403379504,15102.33420115461,12653.984697674989
5,Prevalence,176,Comoros,3,Both,22,All Ages,558,Mental disorders,3,Rate,2019,11350.09171561462,12448.775320342858,10374.455982533185
5,Prevalence,210,Liberia,3,Both,22,All Ages,558,Mental disorders,3,Rate,2019,11348.020507209767,12606.326002044996,10220.323603460412
5,Prevalence,189,United Republic of Tanzania,3,Both,22,All Ages,558,Mental disorders,3,Rate,2019,10513.79855890302,11606.052921014247,9558.781835007367
5,Prevalence,187,Somalia,3,Both,22,All Ages,558,Mental disorders,3,Rate,2019,12326.394358848771,13751.097468125054,10758.138118666153
5,Prevalence,111,Dominican Republic,3,Both,22,All Ages,558,Mental disorders,3,Rate,2019,14449.375939073288,15952.866174268422,13198.171705843533
5,Prevalence,68,Republic of Korea,3,Both,22,All Ages,558,Mental disorders,3,Rate,2019,10689.429037417207,11730.993096539074,9809.800364763978
5,Prevalence,89,Netherlands,3,Both,22,All Ages,558,Mental disorders,3,Rate,2019,15927.728032512403,17611.720027112853,14536.956097255204
5,Prevalence,78,Denmark,3,Both,22,All Ages,558,Mental disorders,3,Rate,2019,13589.979955788556,14847.303341324097,12541.2727083627
5,Prevalence,211,Mali,3,Both,22,All Ages,558,Mental disorders,3,Rate,2019,8853.727594506954,9852.820655491818,7957.215339744136
5,Prevalence,112,Grenada,3,Both,22,All Ages,558,Mental disorders,3,Rate,2019,14373.846765563234,15831.696692723252,13077.874117104304
5,Prevalence,435,South Sudan,3,Both,22,All Ages,558,Mental disorders,3,Rate,2019,10943.493773458926,12085.17777757008,9934.099651377768
5,Prevalence,133,Venezuela (Bolivarian Republic of),3,Both,22,All Ages,558,Mental disorders,3,Rate,2019,13322.047683710467,14682.702095670997,12174.096482430885
5,Prevalence,200,Benin,3,Both,22,All Ages,558,Mental disorders,3,Rate,2019,9852.89182177558,10902.013636013851,8932.889603588636
5,Prevalence,122,Ecuador,3,Both,22,All Ages,558,Mental disorders,3,Rate,2019,13924.709249328362,15422.76770101165,12736.650233368
5,Prevalence,522,Sudan,3,Both,22,All Ages,558,Mental disorders,3,Rate,2019,14871.057435237342,16435.234844567913,13339.410318352097
5,Prevalence,102,United States of America,3,Both,22,All Ages,558,Mental disorders,3,Rate,2019,16151.001960412481,17322.03337154501,15120.502073641104
5,Prevalence,155,Turkey,3,Both,22,All Ages,558,Mental disorders,3,Rate,2019,14516.522278792221,15908.99157826609,13317.323790432894
5,Prevalence,144,Jordan,3,Both,22,All Ages,558,Mental disorders,3,Rate,2019,14222.349900168061,15625.814364952443,12898.83658043384
5,Prevalence,168,Angola,3,Both,22,All Ages,558,Mental disorders,3,Rate,2019,10871.445855754231,11929.51249938177,9868.235503907274
5,Prevalence,369,Nauru,3,Both,22,All Ages,558,Mental disorders,3,Rate,2019,10652.859217295325,11908.82798824896,9616.624159931063
5,Prevalence,91,Portugal,3,Both,22,All Ages,558,Mental disorders,3,Rate,2019,18403.687984280565,20215.127162020606,16744.41204099191
5,Prevalence,6,China,3,Both,22,All Ages,558,Mental disorders,3,Rate,2019,11260.424426272988,12055.467828096753,10474.524684141059
5,Prevalence,35,Georgia,3,Both,22,All Ages,558,Mental disorders,3,Rate,2019,11152.774642381166,12076.959688300267,10275.734484906261
5,Prevalence,24,Marshall Islands,3,Both,22,All Ages,558,Mental disorders,3,Rate,2019,11284.568944220307,12461.737139805195,10228.668024165769
5,Prevalence,177,Djibouti,3,Both,22,All Ages,558,Mental disorders,3,Rate,2019,10811.64521047658,11796.923360675315,9863.388717580394
5,Prevalence,157,Yemen,3,Both,22,All Ages,558,Mental disorders,3,Rate,2019,15183.628273614477,16805.90255306182,13590.291709842906
5,Prevalence,145,Kuwait,3,Both,22,All Ages,558,Mental disorders,3,Rate,2019,14267.362800704248,15720.56872498042,13015.328437334647
5,Prevalence,169,Central African Republic,3,Both,22,All Ages,558,Mental disorders,3,Rate,2019,12874.808604611377,14143.117449731191,11603.796774923117
5,Prevalence,46,Croatia,3,Both,22,All Ages,558,Mental disorders,3,Rate,2019,12208.688807508222,13280.720496438242,11223.040854110628
5,Prevalence,79,Finland,3,Both,22,All Ages,558,Mental disorders,3,Rate,2019,14101.343080989434,15280.191627940572,13112.845609489928
5,Prevalence,90,Norway,3,Both,22,All Ages,558,Mental disorders,3,Rate,2019,15393.774213775196,16527.281268022412,14324.028322954338
5,Prevalence,58,Estonia,3,Both,22,All Ages,558,Mental disorders,3,Rate,2019,12608.90507372594,13701.666960130508,11602.1656786897
5,Prevalence,146,Lebanon,3,Both,22,All Ages,558,Mental disorders,3,Rate,2019,15606.720465902616,17094.908800110978,14280.500726526792
5,Prevalence,15,Myanmar,3,Both,22,All Ages,558,Mental disorders,3,Rate,2019,10706.56610627253,11869.046716129244,9679.116642262645
5,Prevalence,191,Zambia,3,Both,22,All Ages,558,Mental disorders,3,Rate,2019,10297.450336223501,11396.611320796095,9315.290390905568
5,Prevalence,123,Peru,3,Both,22,All Ages,558,Mental disorders,3,Rate,2019,13340.64792414242,14867.462716542715,12088.603021705801
5,Prevalence,212,Mauritania,3,Both,22,All Ages,558,Mental disorders,3,Rate,2019,9373.904051226278,10331.22971350415,8500.331745459998
5,Prevalence,147,Libya,3,Both,22,All Ages,558,Mental disorders,3,Rate,2019,15747.499471528312,17250.903405150013,14389.632230838792
5,Prevalence,201,Burkina Faso,3,Both,22,All Ages,558,Mental disorders,3,Rate,2019,9789.713500930766,10829.758927015033,8833.599299220781
5,Prevalence,36,Kazakhstan,3,Both,22,All Ages,558,Mental disorders,3,Rate,2019,9969.932321597616,10839.358973017195,9204.535555831695
5,Prevalence,156,United Arab Emirates,3,Both,22,All Ages,558,Mental disorders,3,Rate,2019,13665.650452446596,15144.84357653993,12282.488992675162
5,Prevalence,190,Uganda,3,Both,22,All Ages,558,Mental disorders,3,Rate,2019,11638.688956081372,12813.525552259642,10549.409547458416
